Battery1	Battery2	Battery3	Battery4	
12.000000	4.800000	6.000000	8.000000	
11.550000	4.800000	5.175000	7.175000	
11.100000	4.800000	4.800000	6.350000	
10.650000	4.800000	4.800000	5.525000	
10.200000	4.800000	4.800000	4.800000	
9.750000	4.800000	4.800000	4.800000	
9.300000	4.800000	4.800000	4.800000	
8.850000	4.800000	4.800000	4.800000	
8.400000	4.800000	4.800000	4.800000	
7.950000	4.800000	4.800000	4.800000	
7.500000	4.800000	4.800000	4.800000	
7.050000	4.800000	4.800000	4.800000	
6.600000	4.800000	4.800000	4.800000	
6.150000	4.800000	4.800000	4.800000	
5.700000	4.800000	4.800000	4.800000	
5.250000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.941895	4.800000	4.800000	4.800000	
5.391895	4.886025	4.800000	4.800000	
5.841895	4.996893	4.800000	4.800000	
6.291895	5.074723	4.800000	4.800000	
6.741895	5.524723	5.061637	4.800000	
6.943185	5.524723	5.061637	4.800000	
7.169845	5.524723	5.061637	4.800000	
7.277143	5.524723	5.061637	4.800000	
7.277143	5.524723	5.061637	4.800000	
6.827142	5.074723	4.952486	4.800000	
6.377142	4.800000	4.800000	4.800000	
5.927142	4.800000	4.800000	4.800000	
5.477142	4.800000	4.800000	4.800000	
5.027142	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.865499	4.800000	4.800000	4.800000	
4.909326	4.800000	4.800000	4.800000	
4.909326	4.800000	4.800000	4.800000	
4.909326	5.151521	4.800000	4.800000	
4.909326	5.601521	5.076275	4.800000	
4.909326	6.051521	5.299712	4.800000	
4.909326	6.501521	5.603420	4.800000	
4.909326	6.951521	6.225440	4.800000	
4.909326	7.401521	7.050440	4.841225	
4.909326	7.851521	7.875440	5.009555	
4.909326	8.301521	8.700440	5.111960	
4.909326	8.751520	9.525440	5.611307	
4.909326	9.201520	10.350440	6.291297	
4.909326	9.651520	11.175440	7.115029	
4.909326	10.101520	12.000440	7.675509	
4.954091	10.551520	12.825440	8.500509	
5.017675	11.001520	13.650440	9.325509	
5.044147	11.451520	14.475440	10.150509	
5.044147	11.901520	15.300440	10.916016	
5.239605	12.351520	16.125440	11.741016	
5.473990	12.801520	16.950440	12.566016	
5.473990	13.251520	17.775440	13.371124	
5.473990	13.701520	18.600440	14.157512	
5.501143	14.151520	19.425440	14.982512	
5.501143	14.601520	20.250440	15.715081	
5.501143	15.051520	21.075440	16.441974	
5.501143	15.501520	21.900440	16.918539	
5.501143	15.951520	22.725440	17.414274	
5.501143	16.401520	23.550440	17.511018	
5.635271	16.851520	24.000000	18.336018	
5.635271	17.301520	24.000000	18.336018	
5.635271	17.751520	24.000000	18.336018	
5.635271	18.109088	24.000000	18.336018	
5.635271	18.559088	24.000000	18.336018	
5.635271	18.938343	24.000000	18.336018	
5.596675	18.938343	24.000000	18.336018	
5.180346	18.938343	24.000000	18.336018	
4.800000	18.938343	24.000000	18.280414	
4.800000	18.938343	23.235387	18.280414	
4.800000	18.812655	22.410387	18.280414	
4.800000	18.362655	21.585387	18.246543	
4.800000	17.912655	20.760387	18.242327	
4.800000	17.462655	19.935387	18.240896	
4.800000	17.012655	19.110387	18.180460	
4.800000	16.562655	18.285387	18.150754	
4.800000	16.204928	17.460387	18.150754	
4.800000	15.816610	16.635387	18.150754	
4.800000	15.490674	15.810387	18.150754	
4.800000	15.143664	14.985387	18.150754	
4.800000	14.854261	14.160387	18.150754	
4.800000	14.527666	13.335387	18.150754	
4.800000	14.225731	12.510387	18.150754	
4.800000	13.857851	11.685387	18.150754	
4.800000	13.519853	10.860387	18.150754	
4.800000	13.225795	10.035387	18.150754	
4.800000	12.898256	9.210387	18.150754	
4.800000	12.515674	8.385387	18.150754	
4.800000	12.224148	7.560387	18.150754	
4.800000	11.923769	6.735387	18.150754	
4.800000	11.587366	5.910387	18.150754	
